C?digo postal;Estado;;;;
20406;Aguascalientes;;;;
20406;Aguascalientes;;;;
20406;Aguascalientes;;;;
20410;Aguascalientes;;;;
20410;Aguascalientes;;;;
20410;Aguascalientes;;;;
20410;Aguascalientes;;;;
20410;Aguascalientes;;;;
20410;Aguascalientes;;;;
20414;Aguascalientes;;;;
20414;Aguascalientes;;;;
20415;Aguascalientes;;;;
20416;Aguascalientes;;;;
20416;Aguascalientes;;;;
20417;Aguascalientes;;;;
20417;Aguascalientes;;;;
20420;Aguascalientes;;;;
20420;Aguascalientes;;;;
20420;Aguascalientes;;;;
20420;Aguascalientes;;;;
20420;Aguascalientes;;;;
20420;Aguascalientes;;;;
20420;Aguascalientes;;;;
20420;Aguascalientes;;;;
20423;Aguascalientes;;;;
20423;Aguascalientes;;;;
20423;Aguascalientes;;;;
20424;Aguascalientes;;;;
20424;Aguascalientes;;;;
20424;Aguascalientes;;;;
20424;Aguascalientes;;;;
20425;Aguascalientes;;;;
20426;Aguascalientes;;;;
20427;Aguascalientes;;;;
20427;Aguascalientes;;;;
20427;Aguascalientes;;;;
20427;Aguascalientes;;;;
20430;Aguascalientes;;;;
20434;Aguascalientes;;;;
20434;Aguascalientes;;;;
20435;Aguascalientes;;;;
20435;Aguascalientes;;;;
20435;Aguascalientes;;;;
20436;Aguascalientes;;;;
20437;Aguascalientes;;;;
20437;Aguascalientes;;;;
20437;Aguascalientes;;;;
20437;Aguascalientes;;;;
20437;Aguascalientes;;;;
20437;Aguascalientes;;;;
20440;Aguascalientes;;;;
20444;Aguascalientes;;;;
20444;Aguascalientes;;;;
20445;Aguascalientes;;;;
20445;Aguascalientes;;;;
20446;Aguascalientes;;;;
20446;Aguascalientes;;;;
20447;Aguascalientes;;;;
20447;Aguascalientes;;;;
20450;Aguascalientes;;;;
20450;Aguascalientes;;;;
20454;Aguascalientes;;;;
20456;Aguascalientes;;;;
20457;Aguascalientes;;;;
20460;Aguascalientes;;;;
20462;Aguascalientes;;;;
20466;Aguascalientes;;;;
20466;Aguascalientes;;;;
20467;Aguascalientes;;;;
20468;Aguascalientes;;;;
20469;Aguascalientes;;;;
20469;Aguascalientes;;;;
